fname,author,title,editor,publisher,pubplace,date
1H4,William Shakespeare,"Henry IV, Part I",Barbara A. Mowat,Washington Square Press,New York,1994
1H6,William Shakespeare,"Henry VI, Part 1",Barbara A. Mowat,Washington Square Press,New York,2008
2H4,William Shakespeare,"Henry IV, Part 2",Barbara A. Mowat,Washington Square Press,New York,1999
2H6,William Shakespeare,"Henry VI, Part 2",Barbara A. Mowat,Washington Square Press,New York,2008
3H6,William Shakespeare,"Henry VI, Part 3",Barbara A. Mowat,Washington Square Press,New York,2009
Ado,William Shakespeare,Much Ado About Nothing,Barbara A. Mowat,Washington Square Press,New York,1995
Ant,William Shakespeare,Antony and Cleopatra,Barbara A. Mowat,Washington Square Press,New York,1999
AWW,William Shakespeare,All’s Well That Ends Well,Barbara A. Mowat,Washington Square Press,New York,2001
AYL,William Shakespeare,As You Like It,Barbara A. Mowat,Washington Square Press,New York,1997
Cor,William Shakespeare,Coriolanus,Barbara A. Mowat,Washington Square Press,New York,2009
Cym,William Shakespeare,Cymbeline,Barbara A. Mowat,Washington Square Press,New York,2003
Err,William Shakespeare,The Comedy of Errors,Barbara A. Mowat,Washington Square Press,New York,1996
H5,William Shakespeare,Henry V,Barbara A. Mowat,Washington Square Press,New York,1995
H8,William Shakespeare,Henry VIII,Barbara A. Mowat,Washington Square Press,New York,2007
Ham,William Shakespeare,Hamlet,Barbara A. Mowat,Washington Square Press,New York,2012
JC,William Shakespeare,Julius Caesar,Barbara A. Mowat,Washington Square Press,New York,2011
Jn,William Shakespeare,King John,Barbara A. Mowat,Washington Square Press,New York,2000
LLL,William Shakespeare,Love’s Labor’s Lost,Barbara A. Mowat,Washington Square Press,New York,1996
Lr,William Shakespeare,King Lear,Barbara A. Mowat,Washington Square Press,New York,1993
Luc,William Shakespeare,Lucrece,Barbara A. Mowat,Washington Square Press,New York,2006
Mac,William Shakespeare,Macbeth,Barbara A. Mowat,Washington Square Press,New York,2009
MM,William Shakespeare,Measure for Measure,Barbara A. Mowat,Washington Square Press,New York,1997
MND,William Shakespeare,A Midsummer Night’s Dream,Barbara A. Mowat,Washington Square Press,New York,1993
MV,William Shakespeare,The Merchant of Venice,Barbara A. Mowat,Washington Square Press,New York,2010
Oth,William Shakespeare,Othello,Barbara A. Mowat,Washington Square Press,New York,1993
Per,William Shakespeare,"Pericles, Prince of Tyre",Barbara A. Mowat,Washington Square Press,New York,2005
PhT,William Shakespeare,The Phoenix and Turtle,Barbara A. Mowat,Washington Square Press,New York,2006
R2,William Shakespeare,Richard II,Barbara A. Mowat,Washington Square Press,New York,2005
R3,William Shakespeare,Richard III,Barbara A. Mowat,Washington Square Press,New York,2014
Rom,William Shakespeare,Romeo and Juliet,Barbara A. Mowat,Washington Square Press,New York,2011
Shr,William Shakespeare,The Taming of the Shrew,Barbara A. Mowat,Washington Square Press,New York,1992
Son,William Shakespeare,Sonnets,Barbara A. Mowat,Washington Square Press,New York,2006
TGV,William Shakespeare,The Two Gentlemen of Verona,Barbara A. Mowat,Washington Square Press,New York,1999
Tim,William Shakespeare,Timon of Athens,Barbara A. Mowat,Washington Square Press,New York,2001
Tit,William Shakespeare,Titus Andronicus,Barbara A. Mowat,Washington Square Press,New York,2005
Tmp,William Shakespeare,The Tempest,Barbara A. Mowat,Washington Square Press,New York,1994
TN,William Shakespeare,Twelfth Night,Barbara A. Mowat,Washington Square Press,New York,1993
TNK,William Shakespeare,The Two Noble Kinsmen,Barbara A. Mowat,Washington Square Press,New York,2010
Tro,William Shakespeare,Troilus and Cressida,Barbara A. Mowat,Washington Square Press,New York,2007
Ven,William Shakespeare,Venus and Adonis,Barbara A. Mowat,Washington Square Press,New York,2006
Wiv,William Shakespeare,The Merry Wives of Windsor,Barbara A. Mowat,Washington Square Press,New York,2004
WT,William Shakespeare,The Winter’s Tale,Barbara A. Mowat,Washington Square Press,New York,1998
